icd_10,probs
D23.0,0.00017437222402177512
D23.10,0.00017437222402177512
D23.11,0.00017437222402177512
D23.12,0.00017437222402177512
D23.20,0.00017437222402177512
D23.21,0.00017437222402177512
D23.22,0.00017437222402177512
D23.30,0.00017437222402177512
D23.39,0.00017437222402177512
D23.4,0.00017437222402177512
D23.5,0.00017437222402177512
D23.60,0.00017437222402177512
D23.61,0.00017437222402177512
D23.62,0.00017437222402177512
D23.70,0.00017437222402177512
D23.71,0.00017437222402177512
D23.72,0.00017437222402177512
D23.9,0.00017437222402177512
D24.1,0.00016635835877896435
D24.2,0.00016635835877896435
D24.9,0.00016635835877896435
D25.0,0.0017650162372772676
D25.1,0.0017650162372772676
D25.2,0.0017650162372772676
D25.9,0.0017650162372772676
D27.0,0.00019820335807295628
D27.1,0.00019820335807295628
D27.9,0.00019820335807295628
D50.0,0.0010384086796402926
D50.1,0.0010384086796402926
D50.8,0.0010384086796402926
D50.9,0.0010384086796402926
D69.0,4.211273729177041e-05
D69.1,4.211273729177041e-05
D69.2,4.211273729177041e-05
D69.3,4.211273729177041e-05
D69.41,4.211273729177041e-05
D69.42,4.211273729177041e-05
D69.49,4.211273729177041e-05
D69.51,4.211273729177041e-05
D69.59,4.211273729177041e-05
D69.6,4.211273729177041e-05
D69.8,4.211273729177041e-05
D69.9,4.211273729177041e-05
D72.0,8.835267102038041e-05
D72.1,8.835267102038041e-05
D72.89,8.835267102038041e-05
D72.9,8.835267102038041e-05
E01.0,0.00013146596030498412
E01.1,0.00013146596030498412
E01.2,0.00013146596030498412
E01.8,0.00013146596030498412
E03.0,0.0007529314813980468
E03.1,0.0007529314813980468
E03.2,0.0007529314813980468
E03.3,0.0007529314813980468
E03.4,0.0007529314813980468
E03.5,0.0007529314813980468
E03.8,0.0007529314813980468
E03.9,0.0007529314813980468
E04.0,0.001780341884788985
E04.1,0.001780341884788985
E04.2,0.001780341884788985
E04.8,0.001780341884788985
E04.9,0.001780341884788985
E05.00,0.00011742712334643407
E05.01,0.00011742712334643407
E05.10,0.00011742712334643407
E05.11,0.00011742712334643407
E05.20,0.00011742712334643407
E05.21,0.00011742712334643407
E05.30,0.00011742712334643407
E05.31,0.00011742712334643407
E05.40,0.00011742712334643407
E05.41,0.00011742712334643407
E05.80,0.00011742712334643407
E05.81,0.00011742712334643407
E05.90,0.00011742712334643407
E05.91,0.00011742712334643407
E06.0,0.0006174901423833863
E06.1,0.0006174901423833863
E06.2,0.0006174901423833863
E06.3,0.0006174901423833863
E06.4,0.0006174901423833863
E06.5,0.0006174901423833863
E06.9,0.0006174901423833863
E07.0,0.00035108512550240583
E07.1,0.00035108512550240583
E07.81,0.00035108512550240583
E07.89,0.00035108512550240583
